player,score,platform,style,proof level,vid pb,notes,proof link,time,editor
MylesTheGreat,1486240,Console,Roll,Video,,,https://www.youtube.com/watch?v=np0qTcXb8-Q,1635550789761,NerdTheBox
MylesTheGreat,1493640,Console,Roll,Video,,19 start,,1655207973331,NerdTheBox
MylesTheGreat,1612240,Console,Roll,Video,1612240,,https://www.youtube.com/watch?v=kLDl9S8Cbx4,1655583956110,Hydrantdude
MylesTheGreat,1730280,Console,Roll,Video+,1730280,,,1659096639092,Hydrantdude
MylesTheGreat,1794900,Console,Roll,Video+,1794900,,,1661544322428,NerdTheBox
MylesTheGreat,2247540,Console,Roll,Video,2247540,,,1670006539132,NerdTheBox
MylesTheGreat,2733220,Console,Roll,Video,2733220,,https://www.youtube.com/watch?v=OiVNOmzNVnI,1670371586009,NerdTheBox
MylesTheGreat,3020020,Console,Roll,Video+,3020020,,,1672709873418,Hydrantdude
Brighton,1138603,Console,Tap,Video,,,,1615768295252,Cool Iceage
Brighton,1162464,Console,Tap,Video,,,,1620605248009,Cool Iceage
Brighton,1188760,Console,Tap,Video,,,,1631381582711,Hydrantdude
Brighton,1228124,Console,Tap,Video,,,,1633867983766,NerdTheBox
Brighton,1301200,Console,Roll,Video,,,https://www.youtube.com/watch?v=aUgZDKKsNE4,1648155693369,NerdTheBox
Brighton,1394720,Console,Roll,Video+,1394720,,,1662807023085,Hydrantdude
Brighton,1471720,Console,Roll,Video+,1471720,,,1668653700448,Hydrantdude
Cheez,1292310,Console,Tap,Image,,Refuses to post video due to layout used. 1.2X video PB,,1587398428292,Hydrantdude
Cheez,1308276,Console,Tap,Video,,Refuses to post video due to layout used. C69 video PB,,1596561464224,Hydrantdude
Cheez,1384593,Console,Tap,Claim,,>2 1.3s. 1319100 video PB,,1602737662998,Hydrantdude
Cheez,1461740,Console,Roll,Video,,in CTM Qualifying. 10+ 1.4s,https://www.twitch.tv/videos/1073289600,1625107071138,Hydrantdude
Cheez,1520820,Console,Roll,Video,,unpublished. 10+ 1.4s,,1636756831793,Hydrantdude
Cheez,2340240,Console,Roll,Video,,in CTM December qual. Skipped 1.6-2.2,https://youtu.be/GefEJZltuNk,1638229227276,Cool Iceage
Cheez,2730820,Console,Roll,Claim,,2340637 video PB. has first 2m+,,1649878636335,Hydrantdude
BlargMeister,1126760,Console,Tap,Video,1126760,,,1651620630966,NerdTheBox
blaarg,1114100,Emulator,Tap,Image,1073220,maxed in 3 weeks. 1.0X video PB,,1603056994125,Hydrantdude
DdtRegulator,1115560,Emulator,Tap,Image,1063146,. 1.0X video PB,,1630522484616,Hydrantdude
Torzsa,1131280,Emulator,DAS,Video,,,,1626532578400,DTFPS
Torzsa,1143260,Emulator,DAS,Video,,,,1631738573493,Cool Iceage
Torzsa,1163560,Emulator,DAS,Video,,,,1636198196158,NerdTheBox
Torzsa,1182620,Emulator,DAS,Video,,,,1646924688807,NerdTheBox
Torzsa,1190194,Emulator,DAS,Video,1190194,,,1649695324167,Hydrantdude
AvGeekW159,1100640,Console,DAS,Image,,. 1.0X video PB,,1638807926996,NerdTheBox
AvGeekW159,1128960,Console,DAS,Video,1128960,,,1656569708335,meme tetris
AvGeekW159,1226880,Console,DAS,Image,1128960,,,1658145208664,NerdTheBox
luminote,1102220,Emulator,Tap,Image,,,,1617650935453,Cool Iceage
luminote,1190180,Emulator,Tap,Image,1105760,,,1624559137525,Cool Iceage
luminote,1205420,Emulator,Tap,Video,1205420,,,1668811525957,Cool Iceage
luminote,1268400,Emulator,Tap,Video,1268400,,,1670006128556,NerdTheBox
Reykon,1108100,Emulator,DAS,Video,1108100,,,1631135835869,Hydrantdude
Rich Ambler,1112305,Console,DAS,Lost,,B24 on scoreboard. claimed 26k(ish) from 1.3,,1607164020027,Petr Verner
Rich Ambler,1274000,Console,DAS,Claim,,B24 on scoreboard,,1672290052111,Bunny Boing
Jordan,1100234,Console,Tap,Video,,,,1611143949675,Petr Verner
Jordan,1181520,Console,Tap,Video,,,,1613758258024,Hydrantdude
Jordan,1196600,Console,Tap,Video,,,,1638591680891,Cool Iceage
Jordan,1250840,Console,Roll,Video,,,,1653262522226,NerdTheBox
Jordan,1254000,Console,Roll,Video,1254000,,,1655035471693,NerdTheBox
Jordan,1372600,Console,Roll,Video,1372600,,https://www.youtube.com/watch?v=L8tlZgKkrMY,1660875577449,NerdTheBox
NDDK,1112340,Console,Tap,Video,,,,1618665769175,Cool Iceage
NDDK,1223380,Console,Tap,Video,1223380,,,1657780570272,Hydrantdude
poopyoldhag,1121280,Console,DAS,Video,,,,1642338858527,NerdTheBox
poopyoldhag,1122480,Console,DAS,Video,1122480,,,1643534537627,Hydrantdude
poopyoldhag,1167503,Console,DAS,Video,1167503,,,1670005481338,NerdTheBox
SodiumOverdose,1160087,Emulator,Tap,Video,,,,1587398624074,Hydrantdude
SodiumOverdose,1224180,Emulator,Tap,Video,,,,1587613814539,Hydrantdude
SodiumOverdose,1231340,Emulator,Tap,Video,,during highest combined score WR match,,1599695987642,Hydrantdude
SodiumOverdose,1265220,Console,Tap,Video,1265220,,,1611976285669,Hydrantdude
SodiumOverdose,1310900,Console,Roll,Video+,1310900,,,1660087094148,Hydrantdude
SodiumOverdose,1323620,Console,Roll,Video,1323620,19 start,,1664413233065,Hydrantdude
SodiumOverdose,1357900,Console,Roll,Image,1323620,,,1665288903793,Hydrantdude
SodiumOverdose,1489140,Console,Roll,Image,1323620,,,1670005335295,NerdTheBox
SodiumOverdose,1355440,Console,Roll,Video,1323620,,,1671427477306,Bunny Boing
SodiumOverdose,2108820,Console,Roll,Video,2108820,,,1676188037234,Cool Iceage
Sunny,1216420,Emulator,Tap,Image,,19 start,,1634496649081,NerdTheBox
Sunny,1244880,Emulator,Tap,Image,1211280,. once dreamed he got 8m,,1644627551396,NerdTheBox
Sunny,1351940,Console,Roll,Video,1351940,joint PB/1.3 with Obelex. 1:12:14 in VOD,https://www.twitch.tv/videos/1681768901,1671332543730,algebruh
Gwafey,1183540,Emulator,Roll,Video+,1183540,Multiple buttons per input,,1663712615433,Hydrantdude
Klein,1130880,Emulator,Tap,Video,,History Viewer,,1611144126447,Petr Verner
Klein,1166821,Emulator,Tap,Video,,History Viewer,,1616788090174,Cool Iceage
Klein,1198760,Emulator,Tap,Video,,,,1618255112718,Cool Iceage
Klein,1211140,Emulator,Tap,Video,,,,1623787971997,Cool Iceage
Klein,1214620,Emulator,Tap,Video,,History Viewer. 1.211 live video PB,,1625308991698,Cool Iceage
Klein,1241220,Emulator,Tap,Video,1241220,History Viewer. 1.211 live video PB,,1628710802761,DTFPS
Mel0nsoda,1110700,Console,Tap,Video,,,,1626824189414,Hydrantdude
Mel0nsoda,1126380,Console,Tap,Video,,,,1634941388218,NerdTheBox
Mel0nsoda,1146580,Console,Tap,Video,,,,1635795698092,NerdTheBox
Mel0nsoda,1178960,Console,Tap,Video,1178960,,,1639427057672,DTFPS
zydras,1100100,Emulator,Tap,Video,1100100,,,1669078673804,algebruh
zydras,1136440,Emulator,Tap,Video,1136440,history viewer,,1669078673804,algebruh
